origin,distance_nm,month,bunker_price_usd,pressure_index,freight_rate_usd
South Africa,3800,9,697.94,57.3,22.52
Indonesia,2200,5,657.93,53.7,13.91
South Africa,3800,10,544.57,74.4,22.67
South Africa,3800,4,778.86,39.3,19.98
Indonesia,2200,6,568.6,51.4,15.4
Australia,4500,4,578.32,74.7,26.37
South Africa,3800,9,547.05,67.3,21.22
South Africa,3800,11,735.38,49.9,23.74
USA,8500,1,862.09,49.0,47.26
Australia,4500,8,793.02,61.5,30.48
South Africa,3800,8,609.88,51.8,24.36
Australia,4500,10,538.57,63.5,24.71
USA,8500,10,724.46,79.5,47.89
Australia,4500,5,783.17,32.5,22.79
Indonesia,2200,4,824.04,40.7,13.22
Indonesia,2200,1,754.06,43.7,14.36
Indonesia,2200,11,642.35,67.1,17.9
Australia,4500,8,714.22,71.4,31.22
Indonesia,2200,10,835.6,47.1,13.34
South Africa,3800,2,527.66,76.9,23.12
Indonesia,2200,7,523.41,23.4,13.51
Australia,4500,5,692.72,57.7,24.69
Australia,4500,7,708.11,67.6,29.03
Australia,4500,8,623.41,39.3,24.55
Indonesia,2200,12,864.31,71.9,16.54
Australia,4500,12,670.33,77.1,29.23
South Africa,3800,9,787.61,24.2,19.6
South Africa,3800,6,738.79,53.3,21.33
Australia,4500,1,864.62,73.7,30.11
Indonesia,2200,6,868.88,77.4,16.19
Indonesia,2200,1,575.4,73.0,15.49
Australia,4500,8,789.23,22.3,23.39
Australia,4500,9,535.98,75.4,25.3
Australia,4500,8,855.37,67.8,30.66
Australia,4500,11,780.43,52.2,26.59
Australia,4500,12,559.41,78.1,28.48
USA,8500,3,645.21,64.1,44.82
South Africa,3800,1,836.31,71.8,26.71
Indonesia,2200,9,640.24,35.5,13.2
USA,8500,4,742.7,68.9,46.34
Australia,4500,7,577.87,73.2,29.69
Indonesia,2200,12,522.3,38.7,13.89
South Africa,3800,2,748.24,55.1,22.0
Indonesia,2200,6,622.0,21.2,12.74
Australia,4500,5,556.9,80.9,26.46
Indonesia,2200,2,861.03,30.8,13.8
South Africa,3800,6,743.53,23.0,19.45
Indonesia,2200,12,789.87,28.5,14.99
Indonesia,2200,10,577.22,50.5,13.61
USA,8500,3,682.5,30.6,38.71
Australia,4500,2,798.22,35.0,23.93
Australia,4500,3,862.31,29.8,23.53
South Africa,3800,11,867.23,69.4,25.99
South Africa,3800,11,667.36,78.1,25.12
Australia,4500,9,777.37,56.6,25.17
South Africa,3800,11,868.55,32.1,22.22
Indonesia,2200,2,793.97,60.7,15.35
Australia,4500,5,848.26,82.9,29.03
Australia,4500,7,565.07,64.6,27.56
South Africa,3800,6,601.19,30.5,17.92
South Africa,3800,8,631.73,49.6,24.41
Australia,4500,2,764.96,45.7,25.08
USA,8500,9,534.26,51.2,40.76
Australia,4500,1,557.01,57.1,26.01
Australia,4500,1,721.47,20.6,22.65
Australia,4500,2,712.33,77.4,26.55
USA,8500,10,768.21,72.0,46.7
Australia,4500,7,761.34,81.9,33.4
South Africa,3800,9,775.26,76.6,25.15
Indonesia,2200,4,642.2,73.0,16.15
South Africa,3800,3,534.67,30.7,18.58
South Africa,3800,2,541.73,36.1,18.32
Indonesia,2200,7,535.72,30.5,13.67
Australia,4500,3,602.24,84.8,27.41
Australia,4500,3,599.4,47.2,23.41
Australia,4500,7,686.54,76.4,31.55
South Africa,3800,4,784.73,69.9,24.22
South Africa,3800,2,832.13,57.6,23.82
South Africa,3800,2,735.18,71.5,23.2
Indonesia,2200,3,733.25,79.3,16.38
South Africa,3800,1,567.36,66.5,22.9
USA,8500,7,747.71,44.2,45.86
Australia,4500,9,609.0,76.6,26.81
South Africa,3800,8,728.59,63.1,25.97
Australia,4500,12,612.93,62.7,26.64
Australia,4500,8,735.54,45.8,26.97
Indonesia,2200,6,581.11,53.8,13.38
Australia,4500,9,675.12,36.2,23.61
Australia,4500,4,656.57,59.4,25.6
Australia,4500,12,690.87,74.9,29.4
Indonesia,2200,12,714.37,22.2,14.14
USA,8500,9,711.22,80.9,48.78
Australia,4500,1,730.48,64.7,28.22
Australia,4500,2,867.44,20.3,22.13
Indonesia,2200,8,705.61,51.8,16.45
Indonesia,2200,4,565.27,28.6,11.79
Australia,4500,7,762.14,48.8,28.4
Indonesia,2200,6,611.91,63.0,14.52
Australia,4500,2,742.43,76.5,27.71
South Africa,3800,12,560.72,71.7,24.3
USA,8500,5,760.11,57.5,44.95
Australia,4500,2,879.79,23.1,22.4
Indonesia,2200,9,552.57,38.8,13.06
Australia,4500,2,665.49,41.3,23.81
Indonesia,2200,9,634.19,76.5,15.85
Australia,4500,6,753.67,41.3,24.59
South Africa,3800,3,659.88,49.2,21.91
Australia,4500,1,679.99,21.0,21.9
South Africa,3800,2,686.86,44.7,20.81
Indonesia,2200,2,692.51,21.7,11.46
Australia,4500,5,608.59,51.0,22.8
Australia,4500,7,812.67,66.7,31.28
Australia,4500,11,656.83,32.8,24.11
South Africa,3800,3,556.51,51.6,19.94
Australia,4500,12,714.1,40.2,24.57
South Africa,3800,2,663.97,83.5,24.24
Australia,4500,12,585.32,54.1,26.75
Indonesia,2200,8,805.63,32.0,14.98
Australia,4500,6,718.08,22.8,21.95
South Africa,3800,11,520.93,61.5,24.55
Indonesia,2200,10,582.92,43.5,13.51
USA,8500,8,647.23,35.4,43.73
Indonesia,2200,12,761.71,72.6,17.55
Indonesia,2200,10,682.64,58.1,14.84
Indonesia,2200,7,712.73,31.6,14.23
Australia,4500,3,738.55,55.5,24.85
South Africa,3800,9,875.6,28.9,19.19
Indonesia,2200,3,679.38,49.0,14.58
South Africa,3800,6,728.22,37.8,19.84
Australia,4500,8,752.3,58.7,28.16
Australia,4500,7,544.99,53.7,26.15
Australia,4500,5,545.18,61.6,24.9
Indonesia,2200,12,636.76,41.6,13.35
Indonesia,2200,7,656.25,43.6,15.37
Australia,4500,6,722.43,82.2,28.14
Australia,4500,9,581.37,46.6,23.96
Australia,4500,12,873.25,50.9,27.47
Australia,4500,7,663.75,29.9,25.73
South Africa,3800,6,612.54,71.2,22.77
Indonesia,2200,5,817.38,70.8,15.11
Australia,4500,5,644.68,35.5,21.79
South Africa,3800,3,662.91,49.1,21.14
USA,8500,11,726.85,56.8,49.01
Australia,4500,12,855.01,27.6,24.34
Indonesia,2200,6,570.86,33.8,13.36
Indonesia,2200,5,528.24,30.0,12.7
South Africa,3800,6,632.94,59.4,21.77
Australia,4500,6,818.56,40.6,23.55
South Africa,3800,4,568.66,82.6,23.69
South Africa,3800,12,632.25,52.9,22.15
South Africa,3800,11,743.05,62.3,24.36
Australia,4500,3,723.2,32.5,22.48
Indonesia,2200,8,627.05,48.0,14.62
Australia,4500,5,563.7,39.7,22.49
Australia,4500,4,747.95,34.9,22.55
Australia,4500,12,630.25,60.6,25.33
Australia,4500,4,665.73,62.5,26.07
Australia,4500,11,669.09,73.8,29.43
Australia,4500,2,568.17,47.2,23.61
Indonesia,2200,5,793.7,28.9,12.02
Australia,4500,2,746.55,32.9,22.85
Australia,4500,4,653.71,37.3,22.61
Australia,4500,5,695.77,29.8,23.5
Australia,4500,12,754.62,72.7,30.09
Australia,4500,10,841.15,82.1,29.2
Indonesia,2200,9,859.42,72.6,15.94
USA,8500,12,801.22,73.6,51.82
South Africa,3800,8,842.24,61.4,25.99
South Africa,3800,3,558.05,84.2,23.65
South Africa,3800,8,535.0,25.5,20.26
Australia,4500,8,532.81,53.1,26.9
Australia,4500,4,645.89,70.4,25.49
Australia,4500,5,717.86,74.0,27.46
Australia,4500,10,527.54,25.3,20.94
Australia,4500,2,523.75,36.6,22.55
Australia,4500,9,751.81,54.5,24.76
USA,8500,6,694.97,79.8,48.46
South Africa,3800,12,576.39,22.8,19.53
Australia,4500,8,675.55,48.6,26.77
South Africa,3800,6,618.56,80.3,23.55
Australia,4500,5,622.93,73.0,27.61
Indonesia,2200,1,613.04,55.4,14.4
USA,8500,8,720.81,31.7,44.81
Australia,4500,6,791.15,37.5,24.66
Australia,4500,5,781.35,73.2,27.7
Australia,4500,3,574.24,42.3,23.59
Indonesia,2200,3,627.12,56.7,13.89
Indonesia,2200,7,727.78,77.0,17.31
South Africa,3800,8,608.8,67.2,25.25
USA,8500,8,589.82,77.2,51.39
Indonesia,2200,7,741.39,64.7,17.94
Australia,4500,9,719.52,20.3,20.65
USA,8500,9,764.22,69.2,47.22
Indonesia,2200,6,835.59,84.8,16.25
Indonesia,2200,8,598.2,29.0,12.76
Indonesia,2200,6,770.42,20.2,11.35
Indonesia,2200,4,664.84,76.8,16.44
South Africa,3800,3,543.35,57.7,22.2
South Africa,3800,2,735.77,59.1,23.52
Australia,4500,3,699.37,25.0,21.45
Indonesia,2200,6,595.54,73.6,14.86
South Africa,3800,4,564.06,67.8,21.64
Australia,4500,12,784.84,84.9,30.32
USA,8500,1,671.65,61.4,47.3
South Africa,3800,12,658.18,57.2,23.53
South Africa,3800,9,723.6,83.7,24.93
South Africa,3800,6,618.31,53.7,20.51
Australia,4500,5,540.21,75.4,25.53
South Africa,3800,4,808.95,49.8,20.96
South Africa,3800,6,747.22,23.2,18.68
USA,8500,9,864.38,24.5,38.56
Australia,4500,6,614.21,36.1,22.08
Australia,4500,6,674.4,74.9,27.12
Australia,4500,9,695.53,22.2,21.29
South Africa,3800,7,551.11,35.4,20.9
Indonesia,2200,11,866.82,56.4,15.21
Indonesia,2200,10,872.64,29.4,12.91
Indonesia,2200,5,723.52,50.2,14.18
Australia,4500,9,527.93,66.8,25.13
South Africa,3800,9,826.22,56.5,21.91
Indonesia,2200,10,715.32,71.5,15.5
South Africa,3800,2,549.42,49.8,19.48
USA,8500,9,760.85,50.0,42.98
South Africa,3800,7,716.36,24.0,22.32
South Africa,3800,3,803.06,33.1,20.16
Australia,4500,4,716.15,69.3,26.81
Australia,4500,11,860.79,56.4,27.72
Indonesia,2200,1,529.78,24.2,13.41
South Africa,3800,4,807.4,44.2,21.19
South Africa,3800,11,656.95,70.4,23.53
Indonesia,2200,4,619.52,40.3,13.29
South Africa,3800,8,707.27,49.1,23.31
South Africa,3800,3,842.99,31.0,20.26
South Africa,3800,12,592.73,32.0,20.59
Australia,4500,4,807.49,82.9,29.31
Indonesia,2200,9,809.3,52.8,14.54
USA,8500,5,781.07,41.0,41.79
USA,8500,10,673.9,30.5,38.19
South Africa,3800,9,816.27,33.6,20.07
Australia,4500,3,587.47,75.8,26.42
Indonesia,2200,12,875.7,78.6,18.71
Indonesia,2200,9,648.81,52.1,13.68
Australia,4500,5,560.66,25.7,21.43
Indonesia,2200,3,571.11,42.6,14.2
Indonesia,2200,6,785.7,72.4,15.58
Indonesia,2200,11,748.29,28.2,13.05
Indonesia,2200,12,765.4,30.9,14.83
Indonesia,2200,1,821.33,38.2,15.66
South Africa,3800,6,649.74,24.5,19.13
Indonesia,2200,5,755.14,81.0,16.46
Indonesia,2200,2,754.28,76.8,16.27
Australia,4500,11,559.96,49.1,25.84
South Africa,3800,3,668.59,72.2,23.05
South Africa,3800,1,535.13,68.1,23.51
Indonesia,2200,3,870.2,73.7,16.46
Indonesia,2200,12,526.48,82.6,16.07
Indonesia,2200,12,748.63,49.2,15.99
Australia,4500,5,714.65,26.3,20.57
South Africa,3800,3,601.49,67.5,22.07
South Africa,3800,11,845.04,75.4,27.17
Indonesia,2200,7,711.27,74.5,18.94
Australia,4500,12,729.81,84.7,30.72
Australia,4500,4,599.28,51.7,24.57
Indonesia,2200,9,847.47,63.5,15.85
South Africa,3800,12,847.84,50.2,25.59
Australia,4500,3,841.31,48.8,26.21
South Africa,3800,3,605.48,53.3,21.81
Australia,4500,6,803.23,83.1,28.22
South Africa,3800,9,702.26,61.2,21.68
Australia,4500,9,521.05,22.6,20.74
Australia,4500,10,869.75,41.5,24.65
South Africa,3800,8,689.11,49.1,25.6
South Africa,3800,1,522.76,34.2,19.76
Australia,4500,12,622.57,50.1,24.76
Australia,4500,6,855.43,45.8,24.71
Australia,4500,9,814.55,54.6,25.76
Australia,4500,11,536.15,49.3,25.62
USA,8500,1,660.35,67.4,48.83
Australia,4500,1,816.56,82.1,31.6
Indonesia,2200,8,830.64,20.1,14.79
Australia,4500,4,767.17,27.4,22.59
Australia,4500,4,652.86,27.9,22.57
Australia,4500,10,635.59,68.7,25.6
South Africa,3800,9,752.72,77.7,24.25
Australia,4500,9,740.53,76.8,29.26
Indonesia,2200,11,786.75,54.4,16.15
South Africa,3800,11,694.96,57.5,24.24
Australia,4500,5,810.89,34.0,24.14
Australia,4500,5,769.3,47.9,24.48
Indonesia,2200,7,715.31,76.0,17.05
Australia,4500,3,828.72,79.6,28.9
South Africa,3800,8,840.27,20.8,21.58
Australia,4500,8,654.84,30.8,24.94
South Africa,3800,4,536.12,69.5,21.94
South Africa,3800,2,749.28,42.1,20.99
Australia,4500,11,632.04,64.0,26.35
Australia,4500,12,721.49,26.8,24.48
Australia,4500,2,694.81,21.8,21.53
Australia,4500,11,595.19,80.2,28.99
South Africa,3800,3,528.41,69.2,20.78
USA,8500,5,864.13,40.4,42.19
Indonesia,2200,4,878.15,55.4,15.13
Australia,4500,1,658.78,42.1,24.53
South Africa,3800,5,692.04,54.6,21.25
Indonesia,2200,3,628.84,36.9,12.53
Australia,4500,1,702.68,64.0,28.38
South Africa,3800,1,728.97,29.0,20.54
South Africa,3800,2,696.0,46.1,21.51
South Africa,3800,5,783.09,29.6,20.94
Indonesia,2200,5,715.49,34.8,13.29
Indonesia,2200,5,788.51,55.7,15.86
Australia,4500,8,619.28,77.0,30.67
South Africa,3800,6,731.94,44.4,20.82
Australia,4500,1,722.58,48.7,26.76
Australia,4500,1,831.61,83.7,31.55
South Africa,3800,3,736.76,58.4,22.16
USA,8500,8,827.43,48.5,50.59
Indonesia,2200,8,542.48,77.4,17.7
South Africa,3800,7,526.88,51.0,21.21
Indonesia,2200,11,833.94,54.3,16.88
Indonesia,2200,9,620.35,33.7,13.6
USA,8500,3,879.22,64.0,47.03
Australia,4500,1,643.04,61.1,27.71
Australia,4500,8,857.35,73.4,32.17
Indonesia,2200,8,663.68,67.0,17.19
Australia,4500,4,666.56,24.3,20.76
Indonesia,2200,2,522.19,26.6,11.81
Indonesia,2200,2,547.67,52.5,14.11
Australia,4500,2,775.64,63.3,26.96
Australia,4500,2,621.16,72.2,26.08
USA,8500,7,691.52,34.7,45.11
South Africa,3800,5,532.12,34.0,19.7
Australia,4500,7,701.11,49.2,27.33
South Africa,3800,8,719.68,61.4,23.91
Australia,4500,5,809.43,55.9,26.92
South Africa,3800,11,799.12,37.6,21.0
Australia,4500,2,779.82,37.7,23.46
South Africa,3800,9,520.05,53.2,20.23
Indonesia,2200,9,642.53,81.1,15.9
Australia,4500,12,556.68,43.4,24.92
Australia,4500,4,846.59,81.3,28.62
South Africa,3800,6,655.83,82.7,24.22
South Africa,3800,1,854.86,74.9,26.18
Indonesia,2200,7,611.52,76.9,17.2
Australia,4500,4,772.91,39.4,23.09
Australia,4500,3,748.36,85.0,28.57
Australia,4500,9,691.35,27.2,21.12
South Africa,3800,3,653.13,23.4,18.1
Indonesia,2200,2,596.32,62.7,15.43
South Africa,3800,8,753.18,71.8,27.38
Australia,4500,3,633.63,61.9,25.05
Australia,4500,8,688.54,57.6,29.25
Indonesia,2200,5,616.33,74.3,15.61
Australia,4500,5,847.98,74.5,28.28
Australia,4500,3,665.54,54.5,24.63
South Africa,3800,8,780.95,77.0,27.66
Indonesia,2200,7,798.64,70.2,17.57
South Africa,3800,10,828.57,57.4,22.56
Australia,4500,5,615.61,21.1,20.18
Australia,4500,1,786.05,34.5,25.64
South Africa,3800,5,752.73,83.3,26.01
Indonesia,2200,9,716.91,73.9,14.62
Australia,4500,11,629.05,24.3,23.24
Australia,4500,2,737.19,50.8,24.78
South Africa,3800,8,859.38,71.0,27.34
USA,8500,2,752.05,56.5,43.72
Indonesia,2200,7,570.69,60.5,16.65
Indonesia,2200,3,572.91,72.7,14.17
Indonesia,2200,11,811.55,81.6,18.83
Australia,4500,6,689.2,77.9,27.11
Australia,4500,5,699.03,35.0,22.75
Australia,4500,1,864.86,54.4,28.05
Indonesia,2200,5,743.53,80.4,15.09
Indonesia,2200,10,584.91,49.8,14.35
South Africa,3800,11,762.77,28.9,21.17
USA,8500,2,827.36,35.7,39.99
South Africa,3800,3,583.39,33.9,19.32
Australia,4500,6,588.44,71.5,25.88
USA,8500,7,661.41,75.5,53.44
Indonesia,2200,4,609.04,61.6,13.84
South Africa,3800,6,827.87,59.2,23.16
Indonesia,2200,4,648.53,80.2,16.18
Australia,4500,12,584.04,53.5,24.98
Indonesia,2200,6,674.33,21.9,13.53
Australia,4500,9,575.37,84.4,26.97
USA,8500,1,536.17,69.5,46.24
Indonesia,2200,3,540.77,48.9,12.39
Australia,4500,1,803.52,36.3,24.08
Indonesia,2200,2,844.81,77.0,16.89
USA,8500,7,702.14,34.4,44.87
Australia,4500,4,729.38,48.4,24.22
South Africa,3800,3,637.48,74.6,23.02
USA,8500,10,841.32,47.3,42.78
Indonesia,2200,10,840.0,55.4,14.44
Australia,4500,7,531.81,61.3,27.25
Australia,4500,10,858.68,52.9,26.58
Indonesia,2200,4,769.7,70.1,15.34
Indonesia,2200,3,705.64,50.1,13.96
South Africa,3800,9,520.0,47.1,20.31
South Africa,3800,5,780.33,33.0,20.64
Australia,4500,4,868.06,34.6,23.59
Indonesia,2200,9,825.43,47.5,13.6
Indonesia,2200,11,617.72,28.1,12.61
Australia,4500,6,666.07,34.3,22.54
Australia,4500,11,669.21,69.0,29.31
Australia,4500,2,801.03,57.9,26.35
Australia,4500,9,566.78,56.4,23.11
Indonesia,2200,9,581.95,83.2,14.92
Australia,4500,7,686.22,79.9,31.25
Indonesia,2200,7,826.17,42.4,15.68
Indonesia,2200,5,828.35,65.6,15.2
Indonesia,2200,7,717.75,40.3,16.2
Australia,4500,4,658.37,21.6,18.74
Indonesia,2200,8,807.12,60.0,17.2
Indonesia,2200,1,868.13,23.4,15.76
South Africa,3800,11,693.62,27.7,20.66
Indonesia,2200,12,624.42,76.6,16.84
Indonesia,2200,5,545.52,40.3,12.94
Australia,4500,8,538.66,55.7,27.21
Australia,4500,11,588.91,46.8,25.0
Indonesia,2200,5,544.61,70.9,15.26
Australia,4500,9,766.76,41.6,23.74
USA,8500,4,761.73,61.1,44.83
Australia,4500,3,802.7,59.1,26.05
USA,8500,2,869.44,27.4,39.68
South Africa,3800,5,588.33,57.8,21.34
Australia,4500,3,593.92,51.4,22.8
Australia,4500,12,717.86,64.8,28.37
Australia,4500,6,544.6,48.0,22.35
Indonesia,2200,3,744.51,62.2,15.75
South Africa,3800,9,709.27,36.2,20.58
Australia,4500,4,860.82,26.9,23.12
Australia,4500,6,745.07,44.3,24.22
Australia,4500,1,525.54,57.9,25.65
USA,8500,4,781.26,60.1,44.21
Indonesia,2200,6,871.72,26.6,13.05
Australia,4500,11,550.35,72.5,27.61
Indonesia,2200,4,676.39,67.0,15.05
South Africa,3800,9,761.44,65.6,23.02
Australia,4500,7,591.74,77.0,29.67
Australia,4500,2,542.51,49.8,22.77
Indonesia,2200,10,734.95,58.7,13.75
Indonesia,2200,3,697.66,38.4,12.56
Indonesia,2200,3,742.04,68.3,15.46
Australia,4500,10,673.9,33.4,23.44
Indonesia,2200,7,616.79,43.9,15.45
Indonesia,2200,5,668.08,76.8,16.1
South Africa,3800,6,673.94,48.8,21.27
Australia,4500,2,700.03,71.0,26.77
